,,,Week 17 Game,,,,Fantasy,Passing,,,,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,COMP,ATT,PCT,YDS,TD,INT,ATT,YDS,TD
1,Josh Allen,BUF,NYJ,-,-,,24.29,21.73,32.90,66.0,242.27,1.62,0.84,6.50,32.92,0.54
2,Jalen Hurts,PHI,DAL,-,-,,23.81,19.58,29.00,67.5,219.13,1.39,0.67,8.90,39.43,0.67
3,Patrick Mahomes,KC,PIT,-,-,,23.70,24.13,35.40,68.2,269.58,2.02,0.74,4.10,21.61,0.12
4,Lamar Jackson,BAL,HOU,-,-,,22.95,18.34,27.30,67.2,211.41,1.50,0.60,8.90,50.59,0.32
5,Joe Burrow,CIN,DEN,-,-,,22.72,25.72,35.60,72.2,271.15,1.99,0.77,3.20,11.89,0.13
6,C.J. Stroud,HOU,BAL,-,-,,21.68,21.93,34.10,64.3,256.06,1.93,0.70,2.70,11.40,0.12
7,Anthony Richardson,IND,NYG,-,-,,21.64,17.34,28.10,61.7,196.88,1.12,0.71,10.00,47.27,0.55
8,Brock Purdy,SF,DET,-,-,,20.98,20.72,28.60,72.4,248.06,1.86,0.68,2.30,10.33,0.13
9,Dak Prescott,DAL,PHI,-,-,,20.60,22.25,33.10,67.2,240.91,1.79,0.66,3.20,13.34,0.12
10,Trevor Lawrence,JAX,TEN,-,-,,20.37,22.48,32.90,68.3,238.92,1.53,0.79,4.10,19.52,0.19
11,Matthew Stafford,LAR,ARI,-,-,,20.12,23.00,33.10,69.5,258.11,1.83,0.88,0.90,4.11,0.06
12,Jordan Love,GB,MIN,-,-,,20.05,20.98,31.90,65.8,234.76,1.67,0.72,2.60,12.70,0.18
13,Caleb Williams,CHI,SEA,-,-,,19.80,21.07,32.10,65.6,234.47,1.52,0.85,4.00,17.70,0.18
14,Kyler Murray,ARI,LAR,-,-,,19.42,19.33,30.90,62.6,211.77,1.23,0.67,5.50,30.19,0.26
15,Justin Herbert,LAC,NE,-,-,,19.19,21.14,32.70,64.6,228.79,1.52,0.64,3.20,12.27,0.18
16,Jared Goff,DET,SF,-,-,,19.15,21.93,33.60,65.3,246.04,1.70,0.64,1.50,3.27,0.06
17,Jayden Daniels,WAS,ATL,-,-,,18.66,17.49,29.10,60.1,195.49,1.15,0.81,5.80,30.51,0.34
18,Tua Tagovailoa,MIA,CLE,-,-,,18.46,20.26,30.80,65.8,234.87,1.66,0.69,1.90,4.09,0.06
19,Deshaun Watson,CLE,MIA,-,-,,18.12,18.22,28.90,63.0,200.55,1.29,0.76,4.50,23.11,0.23
20,Baker Mayfield,TB,CAR,-,-,,18.10,20.70,31.40,65.9,224.87,1.43,0.72,3.20,11.33,0.12
21,Kirk Cousins,ATL,WAS,-,-,,17.97,21.99,31.90,68.9,235.22,1.53,0.71,1.70,4.34,0.06
22,Aaron Rodgers,NYJ,BUF,-,-,,17.86,20.28,32.10,63.2,224.49,1.56,0.52,1.90,5.57,0.06
23,Will Levis,TEN,JAX,-,-,,17.20,19.30,32.40,59.6,218.17,1.37,0.80,2.80,9.55,0.11
24,Geno Smith,SEA,CHI,-,-,,17.18,19.67,31.30,62.8,215.15,1.37,0.63,2.10,8.55,0.12
25,Derek Carr,NO,LV,-,-,,15.99,20.80,31.20,66.7,214.46,1.29,0.65,1.80,3.95,0.06
26,Drake Maye,NE,LAC,-,-,,15.66,17.28,29.70,58.2,187.36,1.11,0.72,3.60,15.56,0.17
27,Gardner Minshew,LV,NO,-,-,,15.45,20.06,32.50,61.7,209.13,1.13,0.75,1.80,6.80,0.09
28,Russell Wilson,PIT,KC,-,-,,15.22,16.43,27.30,60.2,177.56,1.10,0.61,4.30,18.34,0.12
29,Bryce Young,CAR,TB,-,-,,14.82,17.43,30.90,56.4,190.27,1.04,0.77,2.90,12.55,0.11
30,Daniel Jones,NYG,IND,-,-,,14.78,15.56,24.90,62.5,166.01,0.91,0.51,4.90,23.30,0.17
31,Bo Nix,DEN,CIN,-,-,,12.81,14.24,23.80,59.8,147.67,0.85,0.57,4.20,17.52,0.14
32,Aidan O'Connell,LV,NO,-,-,,5.79,8.01,13.40,59.8,85.34,0.47,0.38,0.10,0.20,0.00
33,Jimmy Garoppolo,LAR,ARI,-,-,,1.37,1.46,2.10,69.5,15.80,0.15,0.07,0.20,0.50,0.00
34,Logan Woodside,CIN,DEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
35,Taylor Heinicke,ATL,WAS,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
36,PJ Walker,SEA,CHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
37,Zach Wilson,DEN,CIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
38,Nate Sudfeld,DET,SF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
39,Kyle Trask,TB,CAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
40,Davis Mills,HOU,BAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
41,Brett Rypien,CHI,SEA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
42,Adrian Martinez,NYJ,BUF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
43,Tanner McKee,PHI,DAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
44,Jake Luton,CAR,TB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
45,Drew Lock,NYG,IND,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
46,Trey Lance,DAL,PHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
47,Emory Jones,BAL,HOU,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
48,Tanner Mordecai,SF,DET,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
49,Mason Rudolph,TEN,JAX,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
50,Chris Oladokun,KC,PIT,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
51,Easton Stick,LAC,NE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
52,Andrew Peasley,NYJ,BUF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
53,Skylar Thompson,MIA,CLE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
54,Luis Perez,LAC,NE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
55,Mitch Trubisky,BUF,NYJ,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
56,Nathan Peterman,LV,NO,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
57,Mike White,MIA,CLE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
58,John Rhys Plumlee,PIT,KC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
59,Jameis Winston,CLE,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
60,Michael Pratt,GB,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
61,Sam Howell,SEA,CHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
62,Austin Reed,CHI,SEA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
63,Hendon Hooker,DET,SF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
64,Josh Johnson,BAL,HOU,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
65,Tyler Huntley,CLE,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
66,Brandon Allen,SF,DET,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
