,,,Week 5 Game,,,,Fantasy,Field Goals,,,Extra Points,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,FGM,FGA,FG%,XPM,XPA,XP%
1,Harrison Butker,KC,NO,-,-,,8.79,1.87,2.12,88.2,3.18,3.31,96.1
2,Jake Moody,SF,ARI,-,-,,8.32,1.74,2.06,84.5,3.10,3.29,94.2
3,Justin Tucker,BAL,CIN,-,-,,8.27,1.82,2.05,88.8,2.81,2.87,97.9
4,Evan McPherson,CIN,BAL,-,-,,8.11,1.74,1.98,87.9,2.89,3.01,96.0
5,Brandon Aubrey,DAL,PIT,-,-,,8.02,1.75,1.98,88.4,2.80,2.92,95.9
6,Ka'imi Fairbairn,HOU,BUF,-,-,,7.81,1.64,1.95,84.1,2.86,2.98,96.0
7,Younghoe Koo,ATL,TB,-,-,,7.73,1.80,2.04,88.2,2.33,2.39,97.5
8,Greg Zuerlein,NYJ,MIN,-,-,,7.63,1.75,2.05,85.4,2.41,2.54,94.9
9,Jason Sanders,MIA,NE,-,-,,7.57,1.58,1.89,83.6,2.80,2.92,95.9
10,Tyler Bass,BUF,HOU,-,-,,7.44,1.60,1.90,84.2,2.61,2.73,95.6
11,Dustin Hopkins,CLE,WAS,-,-,,7.41,1.66,1.96,84.7,2.43,2.55,95.3
12,Jason Myers,SEA,NYG,-,-,,7.26,1.60,1.90,84.2,2.25,2.37,94.9
13,Joshua Karty,LAR,GB,-,-,,7.10,1.52,1.87,81.3,2.51,2.63,95.4
14,Cairo Santos,CHI,CAR,-,-,,7.07,1.62,1.86,87.1,2.21,2.33,94.8
15,Matt Gay,IND,JAX,-,-,,6.93,1.63,1.92,84.9,2.04,2.16,94.4
16,Daniel Carlson,LV,DEN,-,-,,6.88,1.68,1.90,88.4,2.02,2.07,97.6
17,Chase McLaughlin,TB,ATL,-,-,,6.76,1.59,1.87,85.0,1.99,2.10,94.8
18,Chris Boswell,PIT,DAL,-,-,,6.76,1.59,1.82,87.4,1.99,2.10,94.8
19,Anders Carlson,GB,LAR,-,-,,6.68,1.42,1.77,80.2,2.39,2.51,95.2
20,Blake Grupe,NO,KC,-,-,,6.62,1.46,1.73,84.4,2.06,2.17,94.9
21,Wil Lutz,DEN,LV,-,-,,6.52,1.48,1.77,83.6,2.05,2.17,94.5
22,Graham Gano,NYG,SEA,-,-,,6.52,1.56,1.84,84.8,1.84,1.95,94.4
23,Cam Little,JAX,IND,-,-,,6.50,1.40,1.75,80.0,2.33,2.45,95.1
24,Matt Prater,ARI,SF,-,-,,6.47,1.53,1.80,85.0,1.91,2.02,94.6
25,Will Reichard,MIN,NYJ,-,-,,6.17,1.34,1.61,83.2,2.15,2.26,95.1
26,Eddy Pineiro,CAR,CHI,-,-,,5.77,1.35,1.57,86.0,1.84,1.95,94.4
27,Joey Slye,NE,MIA,-,-,,1.53,0.38,0.48,79.2,0.48,0.53,90.6
28,Charlie Smyth,NO,KC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
29,Spencer Shrader,IND,JAX,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
30,Austin Seibert,NYJ,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
31,Chad Ryland,NE,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
32,Jude McAtamney,NYG,SEA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
33,Greg Joseph,GB,LAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
34,Matthew Wright,PIT,DAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
35,Cade York,WAS,CLE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
36,Alex Hale,GB,LAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
