,,,Week 4 Game,,,,Fantasy,Rushing,,,Receiving,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,ATT,YDS,TD,REC,YDS,TD
1,Christian McCaffrey,SF,NE,-,-,,17.23,15.10,79.50,0.71,4.39,34.64,0.26
2,Breece Hall,NYJ,DEN,-,-,,13.78,15.70,73.05,0.54,3.39,25.13,0.12
3,Bijan Robinson,ATL,NO,-,-,,12.61,14.90,68.66,0.50,2.87,21.45,0.10
4,Jonathan Taylor,IND,PIT,-,-,,12.41,15.60,71.47,0.58,1.86,14.22,0.06
5,Saquon Barkley,PHI,TB,-,-,,12.36,15.40,70.37,0.43,2.65,19.59,0.13
6,Derrick Henry,BAL,BUF,-,-,,12.21,14.40,70.19,0.66,1.20,8.73,0.06
7,Jahmyr Gibbs,DET,SEA,-,-,,12.08,11.70,60.07,0.46,3.40,25.28,0.13
8,Josh Jacobs,GB,MIN,-,-,,11.51,14.10,65.36,0.50,2.21,16.14,0.06
9,Isiah Pacheco,KC,LAC,-,-,,11.19,12.90,59.67,0.46,2.43,17.99,0.11
10,Kyren Williams,LAR,CHI,-,-,,11.18,13.70,60.86,0.51,2.26,16.76,0.06
11,Rachaad White,TB,PHI,-,-,,10.48,13.20,53.97,0.37,2.89,21.39,0.12
12,Travis Etienne,JAX,HOU,-,-,,10.41,14.20,58.08,0.39,2.53,18.98,0.06
13,De'Von Achane,MIA,TEN,-,-,,10.39,9.90,54.30,0.41,2.45,18.99,0.10
14,David Montgomery,DET,SEA,-,-,,10.36,11.90,57.15,0.56,1.28,9.29,0.06
15,James Conner,ARI,WAS,-,-,,9.62,12.00,52.79,0.42,1.97,14.65,0.06
16,Joe Mixon,HOU,JAX,-,-,,9.61,12.70,55.19,0.35,2.24,16.33,0.06
17,James Cook,BUF,BAL,-,-,,9.56,11.90,52.76,0.29,2.36,18.26,0.12
18,Kenneth Walker,SEA,DET,-,-,,9.50,13.60,55.85,0.40,1.67,12.16,0.05
19,Najee Harris,PIT,IND,-,-,,9.27,13.30,54.41,0.39,1.55,11.33,0.06
20,Nick Chubb,CLE,LV,-,-,,9.16,11.80,53.47,0.46,0.89,6.91,0.06
21,Aaron Jones,MIN,GB,-,-,,9.09,11.90,49.37,0.33,2.04,15.14,0.11
22,D'Andre Swift,CHI,LAR,-,-,,8.98,11.20,48.39,0.36,2.22,16.23,0.06
23,Devin Singletary,NYG,DAL,-,-,,8.96,13.50,53.46,0.30,2.04,14.49,0.06
24,Zamir White,LV,CLE,-,-,,8.73,12.80,51.07,0.35,1.60,11.59,0.06
25,Raheem Mostert,MIA,TEN,-,-,,8.58,9.80,46.99,0.40,1.56,11.18,0.06
26,Ezekiel Elliott,DAL,NYG,-,-,,8.33,10.60,44.28,0.38,1.74,12.64,0.06
27,Gus Edwards,LAC,KC,-,-,,8.29,11.60,48.17,0.40,0.97,7.16,0.06
28,Zack Moss,CIN,CAR,-,-,,8.25,10.20,44.23,0.35,1.88,13.64,0.06
29,Alvin Kamara,NO,ATL,-,-,,8.24,10.10,39.72,0.22,3.10,22.92,0.11
30,Rhamondre Stevenson,NE,SF,-,-,,8.17,12.60,47.55,0.31,1.70,12.57,0.05
31,Jonathon Brooks,CAR,CIN,-,-,,8.04,10.60,44.08,0.30,1.96,14.69,0.06
32,Tony Pollard,TEN,MIA,-,-,,8.01,11.80,48.20,0.27,1.74,12.74,0.05
33,Javonte Williams,DEN,NYJ,-,-,,7.99,12.30,48.21,0.27,1.74,12.52,0.05
34,Jaylen Warren,PIT,IND,-,-,,7.68,9.10,39.41,0.22,2.39,17.63,0.11
35,Chase Brown,CIN,CAR,-,-,,7.39,8.90,38.90,0.24,2.23,16.98,0.06
36,Tyjae Spears,TEN,MIA,-,-,,7.18,8.30,33.90,0.20,2.55,18.72,0.12
37,Austin Ekeler,WAS,ARI,-,-,,7.13,7.70,31.63,0.23,2.45,18.64,0.12
38,Brian Robinson,WAS,ARI,-,-,,7.09,10.40,40.65,0.30,1.25,9.23,0.05
39,Zach Charbonnet,SEA,DET,-,-,,6.49,8.10,33.27,0.24,1.85,13.66,0.06
40,Jerome Ford,CLE,LV,-,-,,6.14,6.80,28.73,0.24,2.03,14.68,0.06
41,Chuba Hubbard,CAR,CIN,-,-,,6.00,8.50,33.50,0.23,1.27,9.05,0.06
42,Trey Benson,ARI,WAS,-,-,,5.93,7.60,32.42,0.24,1.23,8.92,0.06
43,Blake Corum,LAR,CHI,-,-,,5.47,6.50,28.73,0.23,1.15,8.54,0.06
44,Tyler Allgeier,ATL,NO,-,-,,5.29,7.30,31.68,0.17,1.06,7.45,0.06
45,Ty Chandler,MIN,GB,-,-,,4.81,6.70,26.14,0.16,1.24,9.38,0.05
46,Jaleel McLaughlin,DEN,NYJ,-,-,,4.75,6.50,26.34,0.16,1.19,8.58,0.05
47,Khalil Herbert,CHI,LAR,-,-,,4.74,6.30,27.61,0.19,0.63,4.80,0.06
48,Kendre Miller,NO,ATL,-,-,,4.64,6.00,23.88,0.19,1.03,7.48,0.06
49,Rico Dowdle,DAL,NYG,-,-,,4.59,5.90,24.85,0.16,1.17,8.49,0.05
50,Elijah Mitchell,SF,NE,-,-,,4.25,5.20,25.99,0.19,0.67,5.13,0.00
51,Dameon Pierce,HOU,JAX,-,-,,4.19,6.20,26.73,0.18,0.58,4.32,0.00
52,Kimani Vidal,LAC,KC,-,-,,4.18,5.50,22.43,0.20,0.99,7.36,0.00
53,MarShawn Lloyd,GB,MIN,-,-,,4.07,4.80,21.42,0.13,0.95,7.26,0.07
54,Antonio Gibson,NE,SF,-,-,,4.04,4.90,17.79,0.10,1.84,13.65,0.05
55,Ray Davis,BUF,BAL,-,-,,3.98,5.00,21.43,0.15,0.82,6.38,0.05
56,Roschon Johnson,CHI,LAR,-,-,,3.74,3.60,15.30,0.15,1.17,8.87,0.07
57,Alexander Mattison,LV,CLE,-,-,,3.69,5.20,20.16,0.12,0.87,5.90,0.06
58,Clyde Edwards-Helaire,KC,LAC,-,-,,3.67,3.90,16.70,0.13,1.17,8.58,0.06
59,AJ Dillon,GB,MIN,-,-,,3.51,4.60,19.68,0.18,0.64,4.65,0.00
60,Will Shipley,PHI,TB,-,-,,3.44,4.10,18.17,0.12,0.74,5.44,0.06
61,Bucky Irving,TB,PHI,-,-,,3.38,4.20,17.10,0.11,0.98,7.11,0.05
62,Braelon Allen,NYJ,DEN,-,-,,3.26,4.10,17.70,0.15,0.46,3.46,0.04
63,Jaylen Wright,MIA,TEN,-,-,,3.20,3.50,16.51,0.12,0.68,4.70,0.06
64,Deuce Vaughn,DAL,NYG,-,-,,3.19,3.20,13.85,0.09,0.97,7.21,0.09
65,Jamaal Williams,NO,ATL,-,-,,2.96,4.70,18.24,0.13,0.50,3.51,0.00
66,Isaac Guerendo,SF,NE,-,-,,2.89,3.40,16.01,0.13,0.67,5.06,0.00
67,Chris Rodriguez,WAS,ARI,-,-,,2.86,4.20,16.86,0.14,0.45,3.31,0.00
68,J.K. Dobbins,LAC,KC,-,-,,2.83,3.40,13.65,0.12,0.67,5.08,0.04
69,Tyrone Tracy,NYG,DAL,-,-,,2.75,3.10,12.31,0.08,0.91,6.76,0.06
70,Ty Johnson,BUF,BAL,-,-,,2.63,2.60,10.85,0.07,0.98,7.07,0.07
71,Emari Demercado,ARI,WAS,-,-,,2.61,2.40,10.31,0.07,1.10,8.03,0.06
72,D'Onta Foreman,CLE,LV,-,-,,2.53,3.70,15.59,0.10,0.50,3.72,0.00
73,Tank Bigsby,JAX,HOU,-,-,,2.48,3.60,14.94,0.10,0.53,3.83,0.00
74,Kenneth Gainwell,PHI,TB,-,-,,2.46,2.60,11.20,0.06,0.84,6.21,0.06
75,Justice Hill,BAL,BUF,-,-,,2.40,1.80,8.06,0.06,1.19,8.71,0.06
76,Evan Hull,IND,PIT,-,-,,2.34,2.50,10.55,0.06,0.76,5.62,0.06
77,Eric Gray,NYG,DAL,-,-,,2.33,3.30,13.12,0.09,0.66,4.81,0.00
78,Rasheen Ali,BAL,BUF,-,-,,2.30,3.00,13.64,0.07,0.70,5.17,0.00
79,Kevin Harris,NE,SF,-,-,,2.22,3.50,13.04,0.10,0.43,3.11,0.00
80,Keaton Mitchell,BAL,BUF,-,-,,2.13,2.70,12.84,0.06,0.64,4.82,0.00
81,Audric Estime,DEN,NYJ,-,-,,2.12,3.10,12.13,0.10,0.46,3.04,0.00
82,Dylan Laube,LV,CLE,-,-,,1.97,2.50,9.91,0.08,0.68,5.00,0.00
83,Jase McClellan,ATL,NO,-,-,,1.90,1.70,7.10,0.06,0.63,4.74,0.06
84,Trey Sermon,IND,PIT,-,-,,1.79,2.60,10.98,0.07,0.36,2.67,0.00
85,Chase Edmonds,TB,PHI,-,-,,1.79,1.80,7.23,0.06,0.96,7.11,0.00
86,Miles Sanders,CAR,CIN,-,-,,1.73,2.80,11.10,0.06,0.36,2.64,0.00
87,Samaje Perine,DEN,NYJ,-,-,,1.72,1.50,5.67,0.04,0.94,6.71,0.04
88,Frank Gore,BUF,BAL,-,-,,1.70,2.40,10.15,0.07,0.37,2.66,0.00
89,Cam Akers,HOU,JAX,-,-,,1.64,2.60,10.76,0.07,0.21,1.40,0.00
90,Cordarrelle Patterson,PIT,IND,-,-,,1.54,1.90,7.90,0.06,0.52,3.91,0.00
91,Craig Reynolds,DET,SEA,-,-,,1.53,1.90,8.61,0.06,0.41,3.05,0.00
92,DeWayne McBride,MIN,GB,-,-,,1.48,2.10,8.33,0.07,0.30,2.28,0.00
93,Michael Carter,ARI,WAS,-,-,,1.46,1.60,6.69,0.06,0.63,4.32,0.00
94,Jawhar Jordan,HOU,JAX,-,-,,1.36,1.90,8.09,0.06,0.25,1.89,0.00
95,Kyle Juszczyk,SF,NE,-,-,,1.34,0.30,1.05,0.00,0.87,8.11,0.07
96,Emani Bailey,KC,LAC,-,-,,1.33,2.20,9.61,0.00,0.41,3.68,0.00
97,Pierre Strong,CLE,LV,-,-,,1.22,1.50,6.43,0.06,0.29,2.18,0.00
98,Jeff Wilson,MIA,TEN,-,-,,1.22,1.50,6.75,0.06,0.25,1.85,0.00
99,Ronnie Rivers,LAR,CHI,-,-,,1.19,1.60,6.72,0.06,0.24,1.56,0.00
100,Isaiah Spiller,LAC,KC,-,-,,1.18,1.60,6.58,0.06,0.23,1.57,0.00
101,Isaiah Davis,NYJ,DEN,-,-,,1.14,1.50,6.57,0.06,0.16,1.27,0.00
