,,,Week 1 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Sam LaPorta,DET,LAR,DET,-3.5,51.0,8.76,5.62,58.20,0.49,0.00,0.00,0.00
2,Travis Kelce,KC,BAL,KC,-2.5,46.5,8.56,5.40,57.15,0.47,0.07,0.27,0.00
3,George Kittle,SF,NYJ,SF,-4.0,44.0,7.53,3.91,53.44,0.36,0.06,0.30,0.00
4,Mark Andrews,BAL,KC,KC,2.5,46.5,7.44,3.94,49.81,0.41,0.00,0.00,0.00
5,Kyle Pitts,ATL,PIT,ATL,-3.0,41.5,7.10,4.21,52.37,0.31,0.00,0.00,0.00
6,Dalton Kincaid,BUF,ARI,BUF,-6.0,48.0,7.04,4.93,51.20,0.32,0.00,0.00,0.00
7,Trey McBride,ARI,BUF,BUF,6,48.0,6.71,4.79,49.11,0.30,0.00,0.00,0.00
8,Jake Ferguson,DAL,CLE,CLE,2,43.0,6.41,4.24,44.25,0.33,0.00,0.00,0.00
9,David Njoku,CLE,DAL,CLE,-2.0,43.0,6.23,4.05,43.69,0.31,0.00,0.00,0.00
10,Evan Engram,JAX,MIA,MIA,3.5,49.0,6.05,4.65,44.87,0.26,0.00,0.00,0.00
11,Dallas Goedert,PHI,GB,PHI,-2.0,48.5,5.79,4.00,42.85,0.25,0.00,0.00,0.00
12,Dalton Schultz,HOU,IND,HOU,-2.0,49.0,5.65,3.61,37.92,0.31,0.00,0.00,0.00
13,Brock Bowers,LV,LAC,LAC,3.5,42.5,5.52,3.45,38.43,0.28,0.00,0.00,0.00
14,Taysom Hill,NO,CAR,NO,-4.0,40.0,5.38,1.38,14.19,0.11,5.02,21.60,0.15
15,Cole Kmet,CHI,TEN,CHI,-4.5,43.5,4.90,3.32,34.04,0.25,0.00,0.00,0.00
16,Pat Freiermuth,PIT,ATL,ATL,3,41.5,4.60,3.13,32.79,0.22,0.00,0.00,0.00
17,Cade Otton,TB,WAS,TB,-3.0,42.0,4.53,3.03,30.29,0.25,0.00,0.00,0.00
18,Noah Fant,SEA,DEN,SEA,-5.0,42.0,4.48,3.15,32.24,0.21,0.00,0.00,0.00
