,,,Week 10 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,CeeDee Lamb,DAL,PHI,-,-,,12.68,7.06,89.30,0.49,0.74,4.54,0.06
2,Tyreek Hill,MIA,LAR,-,-,,12.61,6.63,92.17,0.53,0.30,2.13,0.00
3,A.J. Brown,PHI,DAL,-,-,,11.01,5.34,80.36,0.49,0.06,0.36,0.00
4,Garrett Wilson,NYJ,ARI,-,-,,10.79,6.04,76.63,0.49,0.31,1.89,0.00
5,Justin Jefferson,MIN,JAX,-,-,,10.71,6.07,82.44,0.40,0.12,0.69,0.00
6,Ja'Marr Chase,CIN,BAL,-,-,,10.69,6.02,78.34,0.46,0.17,0.92,0.00
7,Puka Nacua,LAR,MIA,-,-,,10.47,5.71,76.35,0.43,0.50,2.54,0.00
8,Amon-Ra St. Brown,DET,HOU,-,-,,10.45,6.66,77.11,0.42,0.36,2.16,0.00
9,Deebo Samuel,SF,TB,-,-,,10.12,3.87,54.33,0.36,2.44,14.46,0.18
10,Nico Collins,HOU,DET,-,-,,9.67,4.77,70.32,0.43,0.12,0.61,0.00
11,Brandon Aiyuk,SF,TB,-,-,,9.46,4.68,68.47,0.43,0.06,0.31,0.00
12,Marvin Harrison,ARI,NYJ,-,-,,9.16,4.72,66.56,0.41,0.06,0.41,0.00
13,Drake London,ATL,NO,-,-,,9.06,5.08,65.97,0.40,0.12,0.63,0.00
14,Cooper Kupp,LAR,MIA,-,-,,9.05,5.35,63.76,0.42,0.24,1.54,0.00
15,Mike Evans,TB,SF,-,-,,9.03,4.17,62.99,0.45,0.06,0.28,0.00
16,Chris Olave,NO,ATL,-,-,,9.02,5.09,68.93,0.35,0.06,0.29,0.00
17,DJ Moore,CHI,NE,-,-,,8.93,4.63,62.64,0.42,0.24,1.43,0.00
18,Jaylen Waddle,MIA,LAR,-,-,,8.81,4.84,65.96,0.35,0.17,1.11,0.00
19,Tee Higgins,CIN,BAL,-,-,,8.55,4.26,60.56,0.41,0.06,0.30,0.00
20,Stefon Diggs,HOU,DET,-,-,,8.50,4.97,60.10,0.41,0.06,0.30,0.00
21,Tank Dell,HOU,DET,-,-,,8.42,4.67,59.27,0.35,0.70,3.97,0.00
22,George Pickens,PIT,WAS,-,-,,8.42,4.14,62.57,0.35,0.12,0.58,0.00
23,DeVonta Smith,PHI,DAL,-,-,,8.39,5.05,61.90,0.36,0.06,0.36,0.00
24,Christian Kirk,JAX,MIN,-,-,,8.37,4.82,61.47,0.36,0.12,0.66,0.00
25,Malik Nabers,NYG,CAR,-,-,,8.18,4.42,59.96,0.35,0.12,0.87,0.00
26,Jordan Addison,MIN,JAX,-,-,,8.11,4.17,57.76,0.37,0.18,1.10,0.00
27,Zay Flowers,BAL,CIN,-,-,,8.10,4.89,56.32,0.36,0.48,3.08,0.00
28,Rome Odunze,CHI,NE,-,-,,8.03,4.31,58.32,0.36,0.06,0.42,0.00
29,Keenan Allen,CHI,NE,-,-,,7.85,5.06,56.19,0.36,0.12,0.66,0.00
30,Michael Pittman,IND,BUF,-,-,,7.76,5.30,59.33,0.30,0.06,0.30,0.00
31,Chris Godwin,TB,SF,-,-,,7.51,4.99,56.21,0.29,0.23,1.49,0.00
32,Rashee Rice,KC,DEN,-,-,,7.50,4.95,53.44,0.35,0.12,0.52,0.00
33,Xavier Worthy,KC,DEN,-,-,,7.49,3.88,51.95,0.36,0.18,1.33,0.00
34,Calvin Ridley,TEN,LAC,-,-,,7.45,3.95,53.48,0.32,0.32,1.84,0.00
35,Terry McLaurin,WAS,PIT,-,-,,7.44,4.33,57.29,0.28,0.06,0.34,0.00
36,Marquise Brown,KC,DEN,-,-,,7.20,3.72,51.87,0.32,0.19,0.88,0.00
