,,Week 14 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,SF,CHI,-,-,,7.21,21.00,331.05,2.95,0.88,0.63,0.06,0.13,0.06,0.00,0.00
2,DAL,CIN,-,-,,7.12,23.75,352.55,2.86,0.91,0.61,0.06,0.12,0.06,0.00,0.00
3,KC,LAC,-,-,,6.97,19.00,324.39,2.78,0.86,0.62,0.06,0.12,0.06,0.00,0.00
4,NYJ,MIA,-,-,,6.94,24.75,381.45,2.82,0.88,0.59,0.06,0.12,0.06,0.00,0.00
5,PIT,CLE,-,-,,6.36,21.25,321.70,2.62,0.76,0.52,0.06,0.12,0.06,0.00,0.00
6,DET,GB,-,-,,6.33,22.75,355.89,2.64,0.86,0.55,0.06,0.06,0.06,0.00,0.00
7,PHI,CAR,-,-,,6.31,18.75,293.95,2.69,0.81,0.56,0.06,0.06,0.06,0.00,0.00
8,CLE,PIT,-,-,,6.30,22.25,315.02,2.52,0.74,0.57,0.06,0.11,0.06,0.00,0.00
9,MIA,NYJ,-,-,,6.27,22.75,345.02,2.62,0.79,0.61,0.06,0.06,0.06,0.00,0.00
10,BUF,LAR,-,-,,6.18,23.50,377.84,2.55,0.85,0.55,0.06,0.06,0.06,0.00,0.00
11,SEA,ARI,-,-,,5.92,23.50,361.07,2.52,0.76,0.53,0.06,0.06,0.06,0.00,0.00
12,CIN,DAL,-,-,,5.87,24.75,360.84,2.39,0.78,0.54,0.06,0.06,0.06,0.00,0.00
13,JAX,TEN,-,-,,5.82,21.75,323.25,2.49,0.71,0.53,0.06,0.06,0.06,0.00,0.00
14,GB,DET,-,-,,5.82,25.25,389.20,2.41,0.76,0.53,0.06,0.06,0.06,0.00,0.00
15,ATL,MIN,-,-,,5.79,22.00,93.16,2.36,0.77,0.53,0.06,0.06,0.06,0.00,0.00
16,LAR,BUF,-,-,,5.78,24.50,382.79,2.44,0.72,0.54,0.06,0.06,0.06,0.00,0.00
17,TB,LV,-,-,,5.76,21.25,396.11,2.35,0.76,0.53,0.06,0.06,0.06,0.00,0.00
18,MIN,ATL,-,-,,5.75,23.00,343.05,2.50,0.70,0.52,0.06,0.06,0.06,0.00,0.00
19,CHI,SF,-,-,,5.70,26.50,405.89,2.39,0.74,0.51,0.06,0.06,0.06,0.00,0.00
20,LV,TB,-,-,,5.67,22.75,316.45,2.46,0.69,0.52,0.06,0.06,0.06,0.00,0.00
21,NO,NYG,-,-,,5.59,20.00,270.65,2.28,0.74,0.51,0.06,0.06,0.06,0.00,0.00
22,ARI,SEA,-,-,,5.54,22.50,328.34,2.21,0.72,0.54,0.06,0.06,0.06,0.00,0.00
23,TEN,JAX,-,-,,5.49,23.25,334.59,2.25,0.69,0.52,0.06,0.06,0.06,0.00,0.00
24,LAC,KC,-,-,,5.33,25.50,401.41,2.25,0.66,0.49,0.05,0.05,0.05,0.00,0.00
25,NYG,NO,-,-,,5.32,21.00,324.64,2.30,0.62,0.50,0.06,0.06,0.06,0.00,0.00
26,CAR,PHI,-,-,,5.20,26.25,371.66,2.13,0.66,0.49,0.05,0.05,0.05,0.00,0.00
