,,Week 4 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Harold Fannin,Bowling Green,TexA&M,BGSU,-,-,1,9.18,1,13.37,60.00,4.19,14.3,0.49,2.22,0.90,2.5,0.00
Colston Loveland,Michigan,USC,USC,-,-,2,8.48,3,12.33,57.94,3.85,15.0,0.45,0.00,0.00,0.0,0.00
Oronde Gadsden,Syracuse,Stan,Stan,-,-,3,8.47,2,13.09,55.09,4.61,12.0,0.49,0.00,0.00,0.0,0.00
Luke Lachey,Iowa,Minn,Iowa,-,-,4,8.18,4,12.30,49.45,4.13,12.0,0.54,0.00,0.00,0.0,0.00
Caden Prieskorn,Mississippi,GaSo,GaSo,-,-,5,7.81,9,11.01,49.28,3.20,15.4,0.48,0.00,0.00,0.0,0.00
Luke Hasz,Arkansas,Auburn,Ark,-,-,6,7.70,8,11.06,44.27,3.36,13.2,0.55,0.00,0.00,0.0,0.00
Justin Joly,North Carolina State,Clem,NCSU,-,-,7,7.54,6,11.54,48.09,4.00,12.0,0.45,0.00,0.00,0.0,0.00
Brant Kuithe,Utah,OkSt,Utah,-,-,8,7.54,5,11.54,46.64,4.00,11.7,0.48,0.00,0.00,0.0,0.00
Jake Briningstool,Clemson,NCSU,NCSU,-,-,9,7.27,7,11.24,42.25,3.97,10.6,0.51,0.00,0.00,0.0,0.00
RJ Maryland,SMU,TCU,TCU,-,-,10,7.24,10,10.20,41.86,2.97,14.1,0.51,0.00,0.00,0.0,0.00
Grayson Barnes,Northern Illinois,Buff,Buff,-,-,11,7.00,19,9.32,42.05,2.33,18.0,0.47,0.00,0.00,0.0,0.00
Jack Velling,Michigan State,BC,MSU,-,-,12,6.79,16,9.56,40.09,2.78,14.4,0.46,0.00,0.00,0.0,0.00
Tyler Warren,Penn State,KentSt,KentSt,-,-,13,6.71,18,9.46,37.08,2.75,13.5,0.50,0.00,0.00,0.0,0.00
Holden Willis,Middle Tenn. St,Duke,Duke,-,-,14,6.71,11,10.12,43.25,3.41,12.7,0.40,0.00,0.00,0.0,0.00
River Helms,Western Kentucky,Toledo,Toledo,-,-,15,6.61,13,9.79,38.82,3.18,12.2,0.45,0.00,0.00,0.0,0.00
Bryson Nesbit,North Carolina,JMU,JMU,-,-,16,6.34,17,9.53,42.67,3.19,13.4,0.34,0.00,0.00,0.0,0.00
Drake Dabney,TCU,SMU,TCU,-,-,17,6.33,15,9.58,43.33,3.25,13.3,0.33,0.00,0.00,0.0,0.00
Mason Taylor,LSU,UCLA,UCLA,-,-,18,6.17,12,9.92,40.27,3.75,10.7,0.36,0.00,0.00,0.0,0.00
Rivaldo Fairweather,Auburn,Ark,Ark,-,-,19,5.99,22,8.93,30.53,2.94,10.4,0.49,0.00,0.00,0.0,0.00
John Michael Gyllenborg,Wyoming,NorTx,Wyo,-,-,20,5.84,20,9.03,37.67,3.19,11.8,0.34,0.00,0.00,0.0,0.00
Garrett Oakley,Kansas State,BYU,KanSt,-,-,21,5.70,24,8.65,37.30,2.95,12.6,0.33,0.00,0.00,0.0,0.00
Sam Roush,Stanford,Syr,Stan,-,-,22,5.70,14,9.64,41.40,3.94,10.5,0.26,0.17,0.09,1.9,0.00
Benjamin Brahmer,Iowa State,ArkSt,ArkSt,-,-,23,5.59,23,8.86,39.55,3.27,12.1,0.27,0.00,0.00,0.0,0.00
Max Klare,Purdue,OreSt,Purdue,-,-,24,5.54,21,8.96,33.15,3.43,9.7,0.37,0.00,0.00,0.0,0.00
Amari Niblack,Texas,UL-Mon,UL-Mon,-,-,25,5.38,29,8.04,38.75,2.67,14.5,0.25,0.00,0.00,0.0,0.00
Mitchell Evans,Notre Dame,Mia-O,Mia-O,-,-,26,5.36,27,8.10,34.75,2.75,12.6,0.31,0.00,0.00,0.0,0.00
Seydou Traore,Mississippi State,Fla,Fla,-,-,27,5.36,30,8.03,30.76,2.67,11.5,0.38,0.00,0.00,0.0,0.00
Arlis Boardingham,Florida,MissSt,Fla,-,-,28,5.28,31,8.01,31.00,2.73,11.4,0.36,0.00,0.00,0.0,0.00
DJ Thomas-Jones,South Alabama,App,USA,-,-,29,5.22,32,7.98,23.62,2.76,8.6,0.48,0.00,0.00,0.0,0.00
Tanner Koziol,Ball State,CentMi,BallSt,-,-,30,5.18,25,8.61,31.20,3.43,9.1,0.34,0.00,0.00,0.0,0.00
Brett Norfleet,Missouri,Vandy,Vandy,-,-,31,5.15,35,7.53,26.69,2.38,11.2,0.41,0.00,0.00,0.0,0.00
Anthony Torres,Toledo,WestKy,Toledo,-,-,32,5.13,43,7.18,37.11,2.05,18.1,0.24,0.00,0.00,0.0,0.00
Kole Taylor,West Virginia,Kansas,Kansas,-,-,33,4.98,34,7.54,35.36,2.56,13.8,0.24,0.00,0.00,0.0,0.00
Corey Dyches,California,FlaSt,Cal,-,-,34,4.97,26,8.46,39.02,3.48,11.2,0.18,0.00,0.00,0.0,0.00
Kendall Karr,Coastal Carolina,UVa,UVa,-,-,35,4.94,42,7.19,21.28,2.25,9.5,0.47,0.00,0.00,0.0,0.00
Keanu Hill,BYU,KanSt,KanSt,-,-,36,4.91,28,8.06,37.96,3.15,12.1,0.19,0.00,0.00,0.0,0.00
Ethan Conner,Troy,FlaA&M,FlaA&M,-,-,37,4.85,37,7.47,30.08,2.62,11.5,0.31,0.00,0.00,0.0,0.00
Eli Wilson,Appalachian State,USA,USA,-,-,38,4.83,39,7.36,27.48,2.52,10.9,0.35,0.00,0.00,0.0,0.00
Dan Villari,Syracuse,Stan,Stan,-,-,39,4.82,50,6.79,21.51,1.97,10.9,0.26,6.09,1.29,4.7,0.09
Thomas Fidone,Nebraska,Ill,Ill,-,-,40,4.70,40,7.28,27.00,2.58,10.5,0.33,0.00,0.00,0.0,0.00
Terrance Carter,Louisiana-Lafayette,Tulane,Tulane,-,-,41,4.66,33,7.64,27.76,2.98,9.3,0.31,0.00,0.00,0.0,0.00
Elijah Arroyo,Miami,USF,Mia-Fl,-,-,42,4.64,38,7.43,24.09,2.79,8.6,0.37,0.00,0.00,0.0,0.00
