,,Week 9 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Att,Avg,TD,Yds,Rec,Avg,TD
Ollie Gordon,Oklahoma State,Baylor,OkSt,-,-,1,26.24,1,29.27,136.38,22.00,6.2,1.60,24.87,3.03,8.2,0.08
Ashton Jeanty,Boise State,UNLV,Boise,-,-,2,23.73,2,26.98,107.29,17.00,6.3,1.14,37.25,3.25,11.5,0.41
Omarion Hampton,North Carolina,UVa,UNC,-,-,3,19.83,3,21.93,111.47,21.00,5.3,1.09,16.30,2.10,7.8,0.08
Devin Neal,Kansas,KanSt,Kansas,-,-,4,18.38,5,19.99,103.86,17.00,6.1,1.01,13.96,1.61,8.7,0.08
DJ Giddens,Kansas State,Kansas,Kansas,-,-,5,18.00,6,19.93,99.79,19.00,5.3,0.84,19.67,1.93,10.2,0.17
Darius Taylor,Minnesota,MD,MD,-,-,6,17.66,10,18.97,111.46,21.00,5.3,0.90,11.19,1.31,8.5,0.00
Quinton Cooley,Liberty,KennSt,Lib,-,-,7,17.50,17,17.92,102.22,16.00,6.4,1.16,3.15,0.41,7.7,0.00
Jordan James,Oregon,Ill,Ill,-,-,8,17.08,7,19.53,88.21,13.00,6.8,0.93,21.78,2.45,8.9,0.08
Makhi Hughes,Tulane,NorTx,Tulane,-,-,9,17.03,13,18.21,111.36,21.00,5.3,0.75,8.78,1.17,7.5,0.08
Tahj Brooks,Texas Tech,TCU,TxTch,-,-,10,16.91,8,19.26,112.82,23.00,4.9,0.76,10.91,2.35,4.6,0.00
Jaydn Ott,California,OreSt,OreSt,-,-,11,16.88,11,18.87,95.56,18.00,5.3,0.83,13.52,1.99,6.8,0.17
Donovan Edwards,Michigan,MSU,MSU,-,-,12,16.83,12,18.28,87.30,19.00,4.6,0.94,19.34,1.45,13.3,0.09
TreVeyon Henderson,Ohio State,Neb,Neb,-,-,13,16.68,15,18.04,84.76,14.00,6.1,1.02,15.87,1.36,11.7,0.08
Malik Sherrod,Fresno State,SJSU,SJSU,-,-,14,16.59,4,20.19,87.49,17.00,5.1,0.86,21.72,3.61,6.0,0.09
Gavin Sawchuk,Oklahoma,Miss,Okla,-,-,15,16.58,18,17.90,92.87,16.00,5.8,0.99,8.58,1.32,6.5,0.08
RJ Harvey,Central Florida,BYU,BYU,-,-,16,16.57,16,17.98,86.99,14.00,6.2,0.97,15.32,1.41,10.9,0.09
