,,Week 9 Game,,,,Standard,,PPR,,Field Goals,,,Extra Points,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,FGM,FGA,FG%,XPM,XPA,XP%
Chase Allen,UTSA,Tulsa,Tx-SA,-,-,1,0.00,17,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Bert Auburn,Texas,Vandy,Tex,-,-,2,0.00,30,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Cole Becker,Utah,Hou,Utah,-,-,3,0.00,26,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Aidan Birr,Georgia Tech,VaTech,GaTech,-,-,4,0.00,33,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Randy Bond,Texas A&M,LSU,LSU,-,-,5,0.00,20,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Colton Boomer,Central Florida,BYU,BYU,-,-,6,0.00,34,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Andres Borregales,Miami,FlaSt,FlaSt,-,-,7,0.00,21,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nick Brown,Liberty,KennSt,Lib,-,-,8,0.00,24,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Carter Brown,Cincinnati,Colo,Cin,-,-,9,0.00,41,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Noah Burnette,North Carolina,UVa,UNC,-,-,10,0.00,15,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Coe,California,OreSt,OreSt,-,-,11,0.00,12,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Liam Connor,Boston College,Lou,Lou,-,-,12,0.00,48,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Caden Costa,Memphis,Char,Char,-,-,13,0.00,22,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Craig,Missouri,Ala,Missou,-,-,14,0.00,49,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonah Dalmas,Boise State,UNLV,Boise,-,-,15,0.00,19,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Caden Davis,Mississippi,Okla,Okla,-,-,16,0.00,1,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Brady Denaburg,Syracuse,Pitt,Syr,-,-,17,0.00,45,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kyle Ferrie,Mississippi State,Ark,Ark,-,-,18,0.00,51,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Will Ferrin,BYU,UCF,BYU,-,-,19,0.00,27,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jayden Fielding,Ohio State,Neb,Neb,-,-,20,0.00,37,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Fitzgerald,Florida State,Mia-Fl,FlaSt,-,-,21,0.00,8,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Ford,North Texas,Tulane,Tulane,-,-,22,0.00,40,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Gino Garcia,Texas Tech,TCU,TxTch,-,-,23,0.00,3,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Grady Gross,Washington,Ind,Wash,-,-,24,0.00,44,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Isaiah Hankins,Baylor,OkSt,OkSt,-,-,25,0.00,28,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Hayes,West Virginia,Ari,WVU,-,-,26,0.00,4,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Everett Hayes,Oregon State,Cal,OreSt,-,-,27,0.00,11,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Dean Janikowski,Washington State,SDSU,WashSt,-,-,28,0.00,9,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Mitch Jeter,Notre Dame,Navy,ND,-,-,29,0.00,16,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Tyler Keltner,Oklahoma,Miss,Okla,-,-,30,0.00,10,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonathan Kim,Michigan State,Mich,MSU,-,-,31,0.00,7,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Lantz,USC,Rut,Rut,-,-,32,0.00,2,0.00,0.00,0.00,0.0,0.00,0.00,0.0
