,,Week 14 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,TD,INT,YPC,Yds,Att,Avg,TD
Kaidon Salter,Liberty,SamHou,Lib,-,-,1,31.69,1,31.69,215.22,2.30,0.43,16.2,82.46,12.36,6.7,0.94
Byrum Brown,South Florida,Rice,USF,-,-,2,29.09,2,29.09,253.69,1.98,0.91,11.9,60.72,15.59,3.9,0.83
Dillon Gabriel,Oregon,Wash,Wash,-,-,3,29.02,3,29.02,329.35,2.90,0.66,13.1,17.42,4.23,4.1,0.41
Jordan McCloud,Texas State,USA,TxSt,-,-,4,27.22,4,27.22,287.29,2.11,0.76,13.0,32.41,9.28,3.5,0.68
Avery Johnson,Kansas State,IaSt,KanSt,-,-,5,27.10,5,27.10,216.17,1.83,0.83,12.2,51.17,10.25,5.0,1.00
Haynes King,Georgia Tech,UGa,GaTech,-,-,6,26.79,6,26.79,231.29,2.14,1.32,12.9,50.47,8.88,5.7,0.66
Garrett Greene,West Virginia,TxTch,WVU,-,-,7,26.74,7,26.74,215.10,1.43,0.34,15.4,73.99,11.74,6.3,0.84
Jaxson Dart,Mississippi,MissSt,MissSt,-,-,8,26.52,8,26.52,301.05,2.02,0.51,14.5,33.60,9.35,3.6,0.51
KJ Jefferson,Central Florida,Utah,Utah,-,-,9,26.15,9,26.15,239.92,1.90,0.74,12.7,50.11,12.53,4.0,0.66
Jalen Milroe,Alabama,Auburn,Auburn,-,-,10,26.14,10,26.14,294.12,2.09,0.75,12.9,25.14,6.60,3.8,0.58
Nico Iamaleava,Tennessee,Vandy,Tenn,-,-,11,25.57,11,25.57,260.70,2.06,0.41,12.9,39.24,9.15,4.3,0.49
Seth Henigan,Memphis,Tulane,Mem,-,-,12,25.56,12,25.56,295.28,2.40,0.66,12.3,21.60,7.70,2.8,0.33
Kyron Drones,Virginia Tech,UVa,UVa,-,-,13,25.43,13,25.43,202.42,1.78,0.34,12.7,76.58,15.20,5.0,0.42
Chandler Morris,North Texas,Temple,NorTx,-,-,14,25.23,14,25.23,288.65,2.26,0.67,12.1,26.56,9.44,2.8,0.33
Jackson Arnold,Oklahoma,LSU,Okla,-,-,15,24.91,15,24.91,299.48,2.00,1.00,13.8,29.07,7.27,4.0,0.33
Thomas Castellanos,Boston College,Pitt,Pitt,-,-,16,24.18,16,24.18,218.81,1.53,1.19,12.4,52.54,9.75,5.4,0.68
Shedeur Sanders,Colorado,OkSt,OkSt,-,-,17,23.79,17,23.79,300.27,2.41,0.45,11.1,-5.45,10.89,-0.5,0.45
Brady Cook,Missouri,Ark,Ark,-,-,18,22.68,18,22.68,257.39,1.71,0.41,13.6,25.88,8.90,2.9,0.49
Cam Ward,Miami,Syr,Mia-Fl,-,-,19,22.50,19,22.50,278.63,1.74,0.66,12.4,9.04,9.04,1.0,0.58
Joey Aguilar,Appalachian State,GaSo,App,-,-,20,22.44,20,22.44,267.17,2.33,0.83,12.8,14.17,5.25,2.7,0.17
Garrett Nussmeier,LSU,Okla,Okla,-,-,21,22.13,21,22.13,266.88,2.31,0.91,13.3,7.34,5.61,1.3,0.25
Noah Fifita,Arizona,AriSt,AriSt,-,-,22,21.97,22,21.97,280.65,2.48,0.86,12.3,3.16,3.16,1.0,0.09
Will Howard,Ohio State,Mich,Mich,-,-,23,21.91,23,21.91,254.84,1.97,0.58,13.4,18.57,4.44,4.2,0.33
Grayson McCall,North Carolina State,UNC,NCSU,-,-,24,21.85,24,21.85,235.63,1.78,0.85,12.1,22.61,8.13,2.8,0.51
Preston Stone,SMU,Cal,Cal,-,-,25,21.47,25,21.47,261.65,2.02,0.84,13.6,14.14,5.22,2.7,0.25
Conner Weigman,Texas A&M,Tex,Tex,-,-,26,21.42,26,21.42,247.83,1.86,0.68,12.5,20.16,5.76,3.5,0.34
Riley Leonard,Notre Dame,USC,ND,-,-,27,21.34,27,21.34,215.75,2.06,0.41,13.8,24.82,5.03,4.9,0.33
